年份,旅館名稱,散客人數(FIT),團體客人數(Group),住客總人次,本國旅客,日本,美國,南韓,港澳,新加坡,馬來西亞,泰國,中國大陸,歐洲地區
2023,美侖大飯店,103378.0,38110.0,141488.0,133585.0,351.0,2347.0,387.0,370.0,1379.0,265.0,87.0,493.0,776.0
2023,太魯閣晶英酒店,77762.0,36132.0,113894.0,104907.0,155.0,3173.0,102.0,265.0,1311.0,118.0,73.0,63.0,2905.0
2023,遠雄悅來大飯店,115642.0,43126.0,158768.0,156831.0,121.0,430.0,64.0,288.0,345.0,116.0,19.0,91.0,145.0
2023,瑞穗天合國際觀光酒店,74653.0,39708.0,114361.0,112745.0,84.0,481.0,11.0,329.0,60.0,61.0,16.0,151.0,41.0
2023,澎湖福朋喜來登酒店,97793.0,61277.0,159070.0,155561.0,146.0,965.0,46.0,104.0,61.0,30.0,5.0,133.0,67.0
2023,寶華大飯店,7242.0,5740.0,12982.0,12703.0,73.0,26.0,3.0,64.0,28.0,38.0,0.0,10.0,20.0
2023,長榮桂冠酒店(基隆),66452.0,26328.0,92780.0,89015.0,568.0,573.0,233.0,496.0,677.0,178.0,125.0,119.0,312.0
2023,新竹老爺大酒店,66836.0,23327.0,90163.0,65069.0,7903.0,6730.0,1547.0,402.0,767.0,498.0,99.0,1778.0,3028.0
2023,新竹國賓大飯店,79060.0,15718.0,94778.0,61758.0,5015.0,7934.0,3585.0,803.0,1824.0,1486.0,118.0,1093.0,7246.0
2023,耐斯王子大飯店,54352.0,66280.0,120632.0,115413.0,1172.0,971.0,468.0,103.0,1126.0,100.0,124.0,135.0,200.0
2023,鈺通大飯店,19073.0,18288.0,37361.0,36518.0,217.0,172.0,63.0,94.0,0.0,0.0,0.0,148.0,36.0
2023,陸島酒店,1831.0,11013.0,12844.0,12782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,新北市,372963.0,182327.0,555290.0,416285.0,14966.0,11634.0,43998.0,24748.0,9756.0,4431.0,1845.0,5479.0,6379.0
2024,新北市,85495.0,30443.0,115938.0,99348.0,1015.0,1824.0,1501.0,1853.0,775.0,809.0,226.0,2744.0,1312.0
2024,新北市,458458.0,212770.0,671228.0,515633.0,15981.0,13458.0,45499.0,26601.0,10531.0,5240.0,2071.0,8223.0,7691.0
2024,臺北市,2577523.0,626271.0,3203794.0,937554.0,644343.0,522213.0,224588.0,187586.0,133926.0,47834.0,35527.0,108256.0,94012.0
2024,臺北市,910302.0,140390.0,1050692.0,322434.0,159577.0,94264.0,126050.0,96713.0,63299.0,19846.0,10983.0,27409.0,25651.0
