year,month,city,hotel_name,total_rooms,rooms_used,occupancy_rate,avg_price,room_revenue,food_revenue,total_revenue,employees,individual_guests,group_guests,total_guests,domestic_guests,japan_guests,korea_guests,hk_mo_guests,usa_guests,domestic_ratio,international_ratio,individual_ratio,revpar,star_rank,star_rating,has_star
2023,1,宜蘭縣,礁溪老爺大酒店,197.0,5374,87.99738005567382,10963.99683662077,58920519,30615796,104152530,327,12637,1736,14373,14170,20,7,44,40,0.9858762958324636,0.014123704167536388,0.8792179781534822,9648.029965613234,5.0,五星級,1
2023,1,宜蘭縣,綠舞國際觀光飯店,113.0,1662,47.44504710248358,9600.148014440434,15955446,7413209,28947378,306,3041,2028,5069,5069,0,0,0,0,1.0,0.0,0.5999210889721839,4554.794747359406,4.0,四星級,1
2023,1,宜蘭縣,蘭城晶英酒店,193.0,5203,86.96306200902558,11969.30886027292,62276314,70631635,147533377,361,18797,965,19762,19493,37,4,21,64,0.986388017407145,0.01361198259285501,0.9511689100293492,10408.877486210933,5.0,五星級,1
2023,1,宜蘭縣,長榮鳳凰酒店(礁溪),231.0,4640,64.79541963412932,9335.839439655172,43318295,23405289,75017461,253,9409,3583,12992,12772,28,134,0,50,0.9830665024630542,0.01693349753694584,0.7242149014778325,6049.196341293115,5.0,五星級,1
2023,1,屏東縣,凱撒大飯店,281.0,5578,64.03398002525542,9396.031193976336,52411062,8359585,63389122,219,14116,1238,15354,15192,10,36,6,55,0.9894490035169988,0.010550996483001174,0.9193695453953368,6016.652737917575,5.0,五星級,1
2023,1,屏東縣,墾丁怡灣渡假酒店,234.0,2992,41.246208988144474,5141.120320855615,15382232,359025,16564698,61,5953,2005,7958,4568,0,0,0,0,0.5740135712490575,0.4259864287509425,0.7480522744408142,2120.5172318720706,3.0,三星級,1
2023,1,屏東縣,墾丁福華渡假飯店,458.0,7110,50.07747570080293,6137.493952180028,43637582,10968958,56132087,252,15389,3935,19324,19090,32,50,5,29,0.9878907058580004,0.012109294141999571,0.7963672117574001,3073.502042541203,5.0,五星級,1
2023,1,新北市,大板根渡假酒店,95.0,2653,90.0848896434635,8327.863550697324,22093822,24972564,70442333,214,5659,2300,7959,7959,0,0,0,0,1.0,0.0,0.7110189722326925,7502.146689303905,4.0,四星級,1
2023,1,新北市,板橋凱撒大飯店,400.0,9603,77.44354838709677,3711.001353743622,35636746,15848138,51570581,161,18530,1582,20112,15252,392,1613,119,425,0.7583532219570406,0.24164677804295942,0.9213404932378679,2873.931129032258,5.0,五星級,1
2023,1,新北市,瓏山林台北中和飯店,126.0,1247,31.9252432155658,2463.285485164395,3071717,4228562,8332025,77,2581,40,2621,2175,17,44,11,0,0.8298359404807325,0.1701640595192675,0.9847386493704693,786.4098822324631,3.0,三星級,1
2023,1,新北市,碧特弗大飯店,55.0,337,19.76539589442815,2703.415430267062,911051,497258,1408309,17,328,213,541,514,2,0,0,9,0.9500924214417745,0.049907578558225474,0.6062846580406654,534.340762463343,,無星等/未評鑑,0
2023,1,新北市,福容大飯店    淡水漁人碼頭,198.0,3644,59.36787227109808,5580.493962678375,20335320,33084904,58321123,150,5228,4412,9640,9360,5,8,22,92,0.970954356846473,0.02904564315352698,0.5423236514522821,3313.0205278592375,4.0,四星級,1
2023,1,新北市,福容大飯店 福隆,174.0,1570,29.10641453466815,6599.5025477707,10361219,6051417,18144774,131,3235,776,4011,3999,0,0,0,3,0.9970082273747195,0.0029917726252804977,0.806532036898529,1920.878568780126,3.0,三星級,1
2023,1,新北市,美麗春天大飯店,34.0,0,0.0,,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,無星等/未評鑑,0
2023,1,新竹市,新竹國賓大飯店,257.0,4393,55.13995230325091,4260.55998178921,18716640,49865571,76866619,285,7269,1243,8512,6998,104,377,46,340,0.8221334586466166,0.17786654135338342,0.8539708646616542,2349.270741809966,4.0,四星級,1
2023,1,新竹市,新竹老爺大酒店,208.0,4070,63.12034739454094,3534.370515970516,14384888,23813666,39644827,172,1354,6446,7800,6460,432,131,0,387,0.8282051282051283,0.17179487179487174,0.17358974358974358,2230.9069478908186,4.0,四星級,1
2023,1,新竹縣,新竹喜來登大飯店,386.0,9320,77.88734748453953,3995.762768240343,37240509,54525788,101801374,270,13026,2700,15726,11275,182,528,34,2102,0.7169655347831616,0.2830344652168384,0.8283098054177794,3112.1936319572123,4.0,四星級,1
2023,1,新竹縣,豐邑喜來登大飯店,384.0,2330,19.57325268817204,3995.762660944206,9310127,4285294,15650868,95,3257,675,3932,2819,46,132,9,525,0.7169379450661241,0.28306205493387593,0.8283316378433367,782.1007224462364,4.0,四星級,1
2023,1,桃園市,南方莊園渡假飯店,111.0,2065,60.01162452775356,7663.437772397095,15824999,21917385,41831564,103,3892,1379,5271,5250,6,4,4,0,0.9960159362549801,0.003984063745019917,0.7383798140770252,4598.9535018889865,4.0,四星級,1
2023,1,桃園市,古華花園飯店,255.0,6223,78.72232764073371,2899.114574963844,18041190,10354296,32781740,150,11515,56,11571,9618,334,123,127,236,0.8312159709618875,0.16878402903811252,0.9951603145795523,2282.250474383302,3.0,三星級,1
